id,title,thumbnail,short_description,game_url,genre,platform,publisher,developer,release_date,profile_url
128,Spellweaver,https://www.mmobomb.com/g/128/thumbnail.jpg,"Spellweaver is a free-to-play online collectible card game that offers vast strategic options and a variety of game modes sure to please players of all skill levels. Spellweaver combat is more interactive than in most CCGs, requiring players to make real-time defensive decisions when attacked, and even launch counterattacks of their own.",https://www.mmobomb.com/open/spellweaver,Card Game,PC (Windows),Dream Reactor,Dream Reactor,2016-02-02,https://www.mmobomb.com/spellweaver
6,Blade & Soul (Blade & Soul NEO),https://www.mmobomb.com/g/6/thumbnail.jpg,"Blade & Soul is a free to play 3D action-combat MMORPG. In Blade & Soul, you'll take part in epic martial-arts action, fighting evil at every turn with your vast array of physical and mystical abilities.",https://www.mmobomb.com/open/blade-and-soul,MMORPG,PC (Windows),NCSoft,NCSoft,2016-01-19,https://www.mmobomb.com/blade-and-soul
374,Clash of Avatars,https://www.mmobomb.com/g/374/thumbnail.jpg,"Clash of Avatars is a free to play browser-based ARPG with simple controls and ease of play that’s virtually unrivaled in the realm of online gaming. It’s light-hearted, casual fun with a bright and cheery anime style that’s evident even when you’re hacking through scores of enemies.",https://www.mmobomb.com/open/clash-of-avatars,MMORPG,Web Browser,AMZgame,AMZgame,2016-01-19,https://www.mmobomb.com/clash-of-avatars
134,War Trigger 3,https://www.mmobomb.com/g/134/thumbnail.jpg,"Blasting out of Rocketeer Games is War Trigger 3 (formerly Red Crucible: Firestorm) a free-to-play MMO shooter that pulls players into intense online matches featuring infantry, vehicle and air combat across massive maps. Equipped with gear taken straight from modern military forces, Red Crucible: Firestorm will give players to choose their preferred fighting style from the Assault, Sniper, Support, and Demolitions classes.",https://www.mmobomb.com/open/wt3,Shooter,PC (Windows),Rocketeer Games,Rocketeer Games,2015-12-23,https://www.mmobomb.com/wt3
136,VEGA Conflict,https://www.mmobomb.com/g/136/thumbnail.jpg,VEGA Conflict is a Cross-Platform free to play 2D browser based sci-fi strategy MMO. VEGA Conflict requires players to take on the role of space minters and seek absolute control over the scarce resources found in the sectors’ asteroids.,https://www.mmobomb.com/open/vega-conflict,Strategy,PC (Windows),KIXEYE,KIXEYE,2015-12-15,https://www.mmobomb.com/vega-conflict
137,Metal War Online: Retribution,https://www.mmobomb.com/g/137/thumbnail.jpg,Metal War Online: Retribution is a high-speed futuristic multiplayer online car shooter game with racing elements. In the future corporations around the world are involved in huge wars for resources.,https://www.mmobomb.com/open/metal-war-online,Shooter,PC (Windows),GDT Limited,GDT Limited,2015-12-11,https://www.mmobomb.com/metal-war-online
139,Immortal Empire,https://www.mmobomb.com/g/139/thumbnail.jpg,"Immortal Empire is a free to play role playing game with strategy elements, developed by Tactic Studios. Adventure as an immortal in the realm of Alvedor while discovering the secrets of the Empire.",https://www.mmobomb.com/open/immortal-empire,MMORPG,PC (Windows),Tactic Studios Inc.,Tactic Studios Inc.,2015-12-03,https://www.mmobomb.com/immortal-empire
222,MechWarrior Online,https://www.mmobomb.com/g/222/thumbnail.jpg,MechWarrior Online is a free to play 3D simulation style multiplayer FPS mech game that captures the feeling of piloting a gigantic BattleMech. Players take control of one of a variety of towering Mechs which weight dozens of tons.,https://www.mmobomb.com/open/mechwarrior-online,Shooter,PC (Windows),Piranha Games Inc.,Piranha Games Inc.,2015-12-10,https://www.mmobomb.com/mechwarrior-online
212,Brawlhalla,https://www.mmobomb.com/g/212/thumbnail.jpg,"Brawlhalla is a fast-paced, frenetic smash-em-up like no other! OK, it's a little like that one “Smash” game...",https://www.mmobomb.com/open/brawlhalla,Fighting,PC (Windows),Blue Mammoth Games,Blue Mammoth Games,2015-11-03,https://www.mmobomb.com/brawlhalla
7,Armored Warfare,https://www.mmobomb.com/g/7/thumbnail.jpg,"Armored Warfare is a free-to-play multiplayer tank combat simulator from Obsidian. Players have a wide variety of tanks, maps, and game modes to challenge their skills against others.",https://www.mmobomb.com/open/armored-warfare,Shooter,PC (Windows),Wishlist Games,Obsidian Entertainment,2015-10-08,https://www.mmobomb.com/armored-warfare
